,monthly_beer_production,log(monthly_beer_production),year,month
1965-04-01,98.2,4.58700621536042,1965,4
1965-05-01,100.2,4.607168188650764,1965,5
1965-06-01,89.4,4.493120682179469,1965,6
1965-07-01,95.3,4.557029810660157,1965,7
1965-08-01,104.2,4.646312129319266,1965,8
1965-09-01,106.4,4.667205576907544,1965,9
1965-10-01,116.2,4.755312844417811,1965,10
1965-11-01,135.9,4.911919321157098,1965,11
1965-12-01,134.0,4.897839799950911,1965,12
1966-01-01,104.6,4.650143551630823,1966,1
1966-02-01,107.1,4.673762977453703,1966,2
1966-03-01,123.5,4.816241156068032,1966,3
1966-04-01,98.8,4.593097604753822,1966,4
1966-05-01,98.6,4.591071261608589,1966,5
1966-06-01,90.6,4.506454213048934,1966,6
1966-07-01,89.1,4.489759334476764,1966,7
1966-08-01,105.2,4.65586330030361,1966,8
1966-09-01,114.0,4.736198448394496,1966,9
1966-10-01,122.1,4.804840381116659,1966,10
1966-11-01,138.0,4.927253685157205,1966,11
1966-12-01,142.2,4.95723451736914,1966,12
1967-01-01,116.4,4.757032535297338,1967,1
1967-02-01,112.6,4.72384171570559,1967,2
1967-03-01,123.8,4.818667360250496,1967,3
1967-04-01,103.6,4.640537329825382,1967,4
1967-05-01,113.9,4.735320870453137,1967,5
1967-06-01,98.6,4.591071261608589,1967,6
1967-07-01,95.0,4.553876891600541,1967,7
1967-08-01,116.0,4.7535901911063645,1967,8
1967-09-01,113.9,4.735320870453137,1967,9
1967-10-01,127.5,4.848116364598481,1967,10
1967-11-01,131.4,4.8782461060505105,1967,11
1967-12-01,145.9,4.98292145552874,1967,12
1968-01-01,131.5,4.879006851617819,1968,1
1968-02-01,131.0,4.875197323201151,1968,2
1968-03-01,130.5,4.871373226762748,1968,3
1968-04-01,118.9,4.778282803696737,1968,4
1968-05-01,114.3,4.738826570800765,1968,5
1968-06-01,85.7,4.450852825603734,1968,6
1968-07-01,104.6,4.650143551630823,1968,7
1968-08-01,105.1,4.6549122778829055,1968,8
1968-09-01,117.3,4.76473475565943,1968,9
1968-10-01,142.5,4.959341999708705,1968,10
1968-11-01,140.0,4.941642422609304,1968,11
1968-12-01,159.8,5.073923033332174,1968,12
1969-01-01,131.2,4.876722876509988,1969,1
1969-02-01,125.4,4.83150862819882,1969,2
1969-03-01,126.5,4.840242308167575,1969,3
1969-04-01,119.4,4.782479200958502,1969,4
1969-05-01,113.5,4.7318028369214575,1969,5
1969-06-01,98.7,4.592084946439436,1969,6
1969-07-01,114.5,4.740574822994295,1969,7
1969-08-01,113.8,4.73444252169223,1969,8
1969-09-01,133.1,4.891100725401066,1969,9
1969-10-01,143.4,4.96563792816552,1969,10
1969-11-01,137.3,4.922168312773925,1969,11
1969-12-01,165.2,5.107156861086878,1969,12
1970-01-01,126.9,4.843399374720342,1970,1
1970-02-01,124.0,4.820281565605037,1970,2
1970-03-01,135.7,4.9104465668408235,1970,3
1970-04-01,130.0,4.867534450455582,1970,4
1970-05-01,109.4,4.695010889987881,1970,5
1970-06-01,117.8,4.768988271217486,1970,6
1970-07-01,120.3,4.789988622980633,1970,7
1970-08-01,121.0,4.795790545596741,1970,8
1970-09-01,132.3,4.88507207112091,1970,9
1970-10-01,142.9,4.9621450849358215,1970,10
1970-11-01,147.4,4.993149979755236,1970,11
1970-12-01,175.9,5.169915651743512,1970,12
1971-01-01,132.6,4.887337077751762,1971,1
1971-02-01,123.7,4.8178592793984425,1971,2
1971-03-01,153.3,5.0323967858777685,1971,3
1971-04-01,134.0,4.897839799950911,1971,4
1971-05-01,119.6,4.784152841516532,1971,5
1971-06-01,116.2,4.755312844417811,1971,6
1971-07-01,118.6,4.775756486563625,1971,7
1971-08-01,130.7,4.872904620630176,1971,8
1971-09-01,129.3,4.8621352857778115,1971,9
1971-10-01,144.4,4.972587226458726,1971,10
1971-11-01,163.2,5.094976442530006,1971,11
1971-12-01,179.4,5.1896179496246955,1971,12
1972-01-01,128.1,4.852811208902689,1972,1
1972-02-01,138.4,4.93014804318357,1972,2
1972-03-01,152.7,5.028475212224587,1972,3
1972-04-01,120.0,4.787491742782046,1972,4
1972-05-01,140.5,4.945207488773801,1972,5
1972-06-01,116.2,4.755312844417811,1972,6
1972-07-01,121.4,4.799090878625398,1972,7
1972-08-01,127.8,4.850466541943434,1972,8
1972-09-01,143.6,4.9670316566141235,1972,9
1972-10-01,157.6,5.060060177423779,1972,10
1972-11-01,166.2,5.113191882421348,1972,11
1972-12-01,182.3,5.205653681684617,1972,12
1973-01-01,153.1,5.031091302663638,1973,1
1973-02-01,147.6,4.994505912166372,1973,2
1973-03-01,157.7,5.060694493968993,1973,3
1973-04-01,137.2,4.921439715291784,1973,4
1973-05-01,151.5,5.020585624949423,1973,5
1973-06-01,98.7,4.592084946439436,1973,6
1973-07-01,145.8,4.982235819574558,1973,7
1973-08-01,151.7,5.021904886354487,1973,8
1973-09-01,129.4,4.8629083820668,1973,9
1973-10-01,174.1,5.159629846774143,1973,10
1973-11-01,197.0,5.2832037287379885,1973,11
1973-12-01,193.9,5.267342562248606,1973,12
1974-01-01,164.1,5.100475998096045,1974,1
1974-02-01,142.8,4.9614450499054845,1974,2
1974-03-01,157.9,5.061961921261596,1974,3
1974-04-01,159.2,5.0701612734102826,1974,4
1974-05-01,162.2,5.088830141681313,1974,5
1974-06-01,123.1,4.812997033190408,1974,6
1974-07-01,130.0,4.867534450455582,1974,7
1974-08-01,150.1,5.011301738639416,1974,8
1974-09-01,169.4,5.132262782217954,1974,9
1974-10-01,179.7,5.191288793789513,1974,10
1974-11-01,182.1,5.2045559867335625,1974,11
1974-12-01,194.3,5.269403356383394,1974,12
1975-01-01,161.4,5.083885755835849,1975,1
1975-02-01,169.4,5.132262782217954,1975,2
1975-03-01,168.8,5.128714582161857,1975,3
1975-04-01,158.1,5.0632277442154265,1975,4
1975-05-01,158.5,5.065754593317335,1975,5
1975-06-01,135.3,4.907494535176743,1975,6
1975-07-01,149.3,5.005957704545144,1975,7
1975-08-01,143.4,4.96563792816552,1975,8
1975-09-01,142.2,4.95723451736914,1975,9
1975-10-01,188.4,5.238567362142263,1975,10
1975-11-01,166.2,5.113191882421348,1975,11
1975-12-01,199.2,5.294309345150498,1975,12
1976-01-01,182.7,5.207845463383961,1976,1
1976-02-01,145.2,4.978112102390695,1976,2
1976-03-01,182.1,5.2045559867335625,1976,3
1976-04-01,158.7,5.0670156275323635,1976,4
1976-05-01,141.6,4.953006181259619,1976,5
1976-06-01,132.6,4.887337077751762,1976,6
1976-07-01,139.6,4.938781190328272,1976,7
1976-08-01,147.0,4.990432586778736,1976,8
1976-09-01,166.6,5.115595729732743,1976,9
1976-10-01,157.0,5.056245805348308,1976,10
1976-11-01,180.4,5.1951766076285235,1976,11
1976-12-01,210.2,5.348059458442851,1976,12
1977-01-01,159.8,5.073923033332174,1977,1
1977-02-01,157.8,5.061328408411774,1977,2
1977-03-01,168.2,5.125153747538848,1977,3
1977-04-01,158.4,5.0651234793803255,1977,4
1977-05-01,152.0,5.0238805208462765,1977,5
1977-06-01,142.2,4.95723451736914,1977,6
1977-07-01,137.2,4.921439715291784,1977,7
1977-08-01,152.6,5.027820118850356,1977,8
1977-09-01,166.8,5.116795489924646,1977,9
1977-10-01,165.6,5.109575241951159,1977,10
1977-11-01,198.6,5.291292751611072,1977,11
1977-12-01,201.5,5.305789381386738,1977,12
1978-01-01,170.7,5.139907629800395,1978,1
1978-02-01,164.4,5.10230248262208,1978,2
1978-03-01,179.7,5.191288793789513,1978,3
1978-04-01,157.0,5.056245805348308,1978,4
1978-05-01,168.0,5.123963979403259,1978,5
1978-06-01,139.3,4.93662988078576,1978,6
1978-07-01,138.6,4.931592086755803,1978,7
1978-08-01,153.4,5.0330488889331555,1978,8
1978-09-01,138.9,4.933754249760298,1978,9
1978-10-01,172.1,5.1480757032174935,1978,10
1978-11-01,198.4,5.290285194850773,1978,11
1978-12-01,217.8,5.38357721049886,1978,12
1979-01-01,173.7,5.157329673247059,1979,1
1979-02-01,153.8,5.035653057071544,1979,2
1979-03-01,175.6,5.168208681201016,1979,3
1979-04-01,147.1,4.991112627607392,1979,4
1979-05-01,160.3,5.0770470596155075,1979,5
1979-06-01,135.2,4.906755163608864,1979,6
1979-07-01,148.8,5.002603122398992,1979,7
1979-08-01,151.0,5.017279836814924,1979,8
1979-09-01,148.2,4.998562712861986,1979,9
1979-10-01,182.2,5.205104984825858,1979,10
1979-11-01,189.2,5.2428046566177775,1979,11
1979-12-01,183.1,5.210032451680465,1979,12
1980-01-01,170.0,5.135798437050262,1980,1
1980-02-01,158.4,5.0651234793803255,1980,2
1980-03-01,176.1,5.17105201550216,1980,3
1980-04-01,156.2,5.051137237405586,1980,4
1980-05-01,153.2,5.0317442573064906,1980,5
1980-06-01,117.9,4.769836807543325,1980,6
1980-07-01,149.8,5.00930107108312,1980,7
1980-08-01,156.6,5.053694783556702,1980,8
1980-09-01,166.7,5.116195789756748,1980,9
1980-10-01,156.8,5.054971107916307,1980,10
1980-11-01,158.6,5.066385309200747,1980,11
1980-12-01,210.8,5.350909816667207,1980,12
1981-01-01,203.6,5.316157284676367,1981,1
1981-02-01,175.2,5.165928178502291,1981,2
1981-03-01,168.7,5.128121989551922,1981,3
1981-04-01,155.9,5.049214776063731,1981,4
1981-05-01,147.3,4.9924713234685845,1981,5
1981-06-01,137.0,4.919980925828125,1981,6
1981-07-01,141.1,4.9494688588587685,1981,7
1981-08-01,167.4,5.120386158055375,1981,8
1981-09-01,160.2,5.076423034634259,1981,9
1981-10-01,191.9,5.256974403013654,1981,10
1981-11-01,174.4,5.161351511474879,1981,11
1981-12-01,208.2,5.338499156180869,1981,12
1982-01-01,159.4,5.071416766356115,1982,1
1982-02-01,161.1,5.082025290182929,1982,2
1982-03-01,172.1,5.1480757032174935,1982,3
1982-04-01,158.4,5.0651234793803255,1982,4
1982-05-01,114.6,4.741447804280639,1982,5
1982-06-01,159.6,5.072670685015709,1982,6
1982-07-01,159.7,5.073297055220967,1982,7
1982-08-01,159.4,5.071416766356115,1982,8
1982-09-01,160.7,5.0795392727434665,1982,9
1982-10-01,165.5,5.1089711948171175,1982,10
1982-11-01,205.0,5.3230099791384085,1982,11
1982-12-01,205.2,5.323985113296614,1982,12
1983-01-01,141.6,4.953006181259619,1983,1
1983-02-01,148.1,4.997887721273753,1983,2
1983-03-01,184.9,5.219815138393079,1983,3
1983-04-01,132.5,4.886582645426277,1983,4
1983-05-01,137.3,4.922168312773925,1983,5
1983-06-01,135.5,4.908971640319756,1983,6
1983-07-01,121.7,4.801558999993482,1983,7
1983-08-01,166.1,5.112590016619249,1983,8
1983-09-01,146.8,4.9890711161804155,1983,9
1983-10-01,162.8,5.09252245356844,1983,10
1983-11-01,186.8,5.230038525794742,1983,11
1983-12-01,185.5,5.22305488204749,1983,12
1984-01-01,151.5,5.020585624949423,1984,1
1984-02-01,158.1,5.0632277442154265,1984,2
1984-03-01,143.0,4.962844630259907,1984,3
1984-04-01,151.2,5.018603463745433,1984,4
1984-05-01,147.6,4.994505912166372,1984,5
1984-06-01,130.7,4.872904620630176,1984,6
1984-07-01,137.5,4.923623917106626,1984,7
1984-08-01,146.1,4.984291318756654,1984,8
1984-09-01,133.6,4.894850261102546,1984,9
1984-10-01,167.9,5.123368564083496,1984,10
1984-11-01,181.9,5.203457085524077,1984,11
1984-12-01,202.0,5.308267697401205,1984,12
1985-01-01,166.5,5.1149953094204985,1985,1
1985-02-01,151.3,5.01926462079431,1985,2
1985-03-01,146.2,4.9849755473156785,1985,3
1985-04-01,148.3,4.999237249143887,1985,4
1985-05-01,144.7,4.974662633637438,1985,5
1985-06-01,123.6,4.817050545023591,1985,6
1985-07-01,151.6,5.021245473208271,1985,7
1985-08-01,133.9,4.897093252697127,1985,8
1985-09-01,137.4,4.922896379788249,1985,9
1985-10-01,181.6,5.201806466167193,1985,10
1985-11-01,182.0,5.204006687076795,1985,11
1985-12-01,190.0,5.247024072160486,1985,12
1986-01-01,161.2,5.0826458300725275,1986,1
1986-02-01,155.5,5.0466457316192885,1986,2
1986-03-01,141.9,4.955122584165997,1986,3
1986-04-01,164.6,5.103518288242969,1986,4
1986-05-01,136.2,4.9141243937154115,1986,5
1986-06-01,126.8,4.842611042003125,1986,6
1986-07-01,152.5,5.0271645960474665,1986,7
1986-08-01,126.6,4.841032509710076,1986,8
1986-09-01,150.1,5.011301738639416,1986,9
1986-10-01,186.3,5.227358277607543,1986,10
1986-11-01,147.5,4.993828175779875,1986,11
1986-12-01,200.4,5.3003153692107094,1986,12
1987-01-01,177.2,5.177279038170981,1987,1
1987-02-01,127.4,4.847331743138063,1987,2
1987-03-01,177.1,5.176714544788788,1987,3
1987-04-01,154.4,5.039546637590676,1987,4
1987-05-01,135.2,4.906755163608864,1987,5
1987-06-01,126.4,4.839451481712757,1987,6
1987-07-01,147.3,4.9924713234685845,1987,7
1987-08-01,140.6,4.9459189793765646,1987,8
1987-09-01,152.3,5.025852259901116,1987,9
1987-10-01,151.2,5.018603463745433,1987,10
1987-11-01,172.2,5.14865659199363,1987,11
1987-12-01,215.3,5.372032404370318,1987,12
1988-01-01,154.1,5.03760174232607,1988,1
1988-02-01,159.3,5.070789216916003,1988,2
1988-03-01,160.4,5.077670695432414,1988,3
1988-04-01,151.9,5.023222409601727,1988,4
1988-05-01,148.4,4.99991133073328,1988,5
1988-06-01,139.6,4.938781190328272,1988,6
1988-07-01,148.2,4.998562712861986,1988,7
1988-08-01,153.5,5.033700567027251,1988,8
1988-09-01,145.1,4.977423159890142,1988,9
1988-10-01,183.7,5.21330399222108,1988,10
1988-11-01,210.5,5.349485653122436,1988,11
1988-12-01,203.3,5.314682720634301,1988,12
1989-01-01,153.3,5.0323967858777685,1989,1
1989-02-01,144.3,4.971894465779825,1989,2
1989-03-01,169.6,5.133442723357803,1989,3
1989-04-01,143.7,4.967727793084979,1989,4
1989-05-01,160.1,5.075798620002669,1989,5
1989-06-01,135.6,4.909709375506295,1989,6
1989-07-01,141.8,4.954417614098027,1989,7
1989-08-01,159.9,5.074548619839908,1989,8
1989-09-01,145.7,4.981549713201159,1989,9
1989-10-01,183.5,5.212214667494625,1989,10
1989-11-01,198.2,5.289276621895888,1989,11
1989-12-01,186.8,5.230038525794742,1989,12
1990-01-01,172.0,5.147494476813453,1990,1
1990-02-01,150.6,5.014627315365793,1990,2
1990-03-01,163.3,5.095588999976419,1990,3
1990-04-01,153.7,5.03500265054455,1990,4
1990-05-01,152.9,5.029784112935016,1990,5
1990-06-01,135.5,4.908971640319756,1990,6
1990-07-01,148.5,5.000584958242754,1990,7
1990-08-01,148.4,4.99991133073328,1990,8
1990-09-01,133.6,4.894850261102546,1990,9
1990-10-01,194.1,5.268373490174964,1990,10
1990-11-01,208.6,5.340418542566672,1990,11
1990-12-01,197.3,5.2847254130285695,1990,12
1991-01-01,164.4,5.10230248262208,1991,1
1991-02-01,148.1,4.997887721273753,1991,2
1991-03-01,152.0,5.0238805208462765,1991,3
1991-04-01,144.1,4.970507503005476,1991,4
1991-05-01,155.0,5.043425116919247,1991,5
1991-06-01,124.5,4.824305715904762,1991,6
1991-07-01,153.0,5.030437921392435,1991,7
1991-08-01,146.0,4.983606621708336,1991,8
1991-09-01,138.0,4.927253685157205,1991,9
1991-10-01,190.0,5.247024072160486,1991,10
1991-11-01,192.0,5.2574953720277815,1991,11
1991-12-01,192.0,5.2574953720277815,1991,12
1992-01-01,147.0,4.990432586778736,1992,1
1992-02-01,133.0,4.890349128221754,1992,2
1992-03-01,163.0,5.093750200806762,1992,3
1992-04-01,150.0,5.0106352940962555,1992,4
1992-05-01,129.0,4.859812404361672,1992,5
1992-06-01,131.0,4.875197323201151,1992,6
1992-07-01,145.0,4.976733742420574,1992,7
1992-08-01,137.0,4.919980925828125,1992,8
1992-09-01,138.0,4.927253685157205,1992,9
1992-10-01,168.0,5.123963979403259,1992,10
1992-11-01,176.0,5.170483995038151,1992,11
1992-12-01,188.0,5.236441962829949,1992,12
1993-01-01,139.0,4.9344739331306915,1993,1
1993-02-01,143.0,4.962844630259907,1993,2
1993-03-01,150.0,5.0106352940962555,1993,3
1993-04-01,154.0,5.0369526024136295,1993,4
1993-05-01,137.0,4.919980925828125,1993,5
1993-06-01,129.0,4.859812404361672,1993,6
1993-07-01,128.0,4.852030263919617,1993,7
1993-08-01,140.0,4.941642422609304,1993,8
1993-09-01,143.0,4.962844630259907,1993,9
1993-10-01,151.0,5.017279836814924,1993,10
1993-11-01,177.0,5.176149732573829,1993,11
1993-12-01,184.0,5.214935757608986,1993,12
1994-01-01,151.0,5.017279836814924,1994,1
1994-02-01,134.0,4.897839799950911,1994,2
1994-03-01,164.0,5.099866427824199,1994,3
1994-04-01,126.0,4.836281906951478,1994,4
1994-05-01,131.0,4.875197323201151,1994,5
1994-06-01,125.0,4.8283137373023015,1994,6
1994-07-01,127.0,4.844187086458591,1994,7
1994-08-01,143.0,4.962844630259907,1994,8
1994-09-01,143.0,4.962844630259907,1994,9
1994-10-01,160.0,5.075173815233827,1994,10
1994-11-01,190.0,5.247024072160486,1994,11
1994-12-01,182.0,5.204006687076795,1994,12
1995-01-01,138.0,4.927253685157205,1995,1
1995-02-01,136.0,4.912654885736052,1995,2
1995-03-01,152.0,5.0238805208462765,1995,3
1995-04-01,127.0,4.844187086458591,1995,4
1995-05-01,151.0,5.017279836814924,1995,5
1995-06-01,130.0,4.867534450455582,1995,6
1995-07-01,119.0,4.77912349311153,1995,7
1995-08-01,153.0,5.030437921392435,1995,8
